ticket_number,ticket_id,ticket_category,ticket_type,table_number,seat_number,guest_name,display_name,payment_status,ticket_status,bracelet_type,checked_in,checked_in_at,checked_in_by,scan_count,notes
VIP-016,AADS-TOC-20260725-VIP-T03-S04-016,VIP,PAID VIP,3,4,VIP Table 3 Guest 4,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
VIP-017,AADS-TOC-20260725-VIP-T03-S05-017,VIP,PAID VIP,3,5,VIP Table 3 Guest 5,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
VIP-018,AADS-TOC-20260725-VIP-T03-S06-018,VIP,PAID VIP,3,6,VIP Table 3 Guest 6,VIP Table 3 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 3: $110 table package, 6 seats"
VIP-019,AADS-TOC-20260725-VIP-T04-S01-019,VIP,PAID VIP,4,1,VIP Table 4 Guest 1,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-020,AADS-TOC-20260725-VIP-T04-S02-020,VIP,PAID VIP,4,2,VIP Table 4 Guest 2,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-021,AADS-TOC-20260725-VIP-T04-S03-021,VIP,PAID VIP,4,3,VIP Table 4 Guest 3,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-022,AADS-TOC-20260725-VIP-T04-S04-022,VIP,PAID VIP,4,4,VIP Table 4 Guest 4,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-023,AADS-TOC-20260725-VIP-T04-S05-023,VIP,PAID VIP,4,5,VIP Table 4 Guest 5,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-024,AADS-TOC-20260725-VIP-T04-S06-024,VIP,PAID VIP,4,6,VIP Table 4 Guest 6,VIP Table 4 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 4: $110 table package, 6 seats"
VIP-025,AADS-TOC-20260725-VIP-T05-S01-025,VIP,PAID VIP,5,1,VIP Table 5 Guest 1,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-026,AADS-TOC-20260725-VIP-T05-S02-026,VIP,PAID VIP,5,2,VIP Table 5 Guest 2,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-027,AADS-TOC-20260725-VIP-T05-S03-027,VIP,PAID VIP,5,3,VIP Table 5 Guest 3,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-028,AADS-TOC-20260725-VIP-T05-S04-028,VIP,PAID VIP,5,4,VIP Table 5 Guest 4,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-029,AADS-TOC-20260725-VIP-T05-S05-029,VIP,PAID VIP,5,5,VIP Table 5 Guest 5,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-030,AADS-TOC-20260725-VIP-T05-S06-030,VIP,PAID VIP,5,6,VIP Table 5 Guest 6,VIP Table 5 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 5: $110 table package, 6 seats"
VIP-031,AADS-TOC-20260725-VIP-T06-S01-031,VIP,PAID VIP,6,1,VIP Table 6 Guest 1,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
VIP-032,AADS-TOC-20260725-VIP-T06-S02-032,VIP,PAID VIP,6,2,VIP Table 6 Guest 2,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
VIP-033,AADS-TOC-20260725-VIP-T06-S03-033,VIP,PAID VIP,6,3,VIP Table 6 Guest 3,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
VIP-034,AADS-TOC-20260725-VIP-T06-S04-034,VIP,PAID VIP,6,4,VIP Table 6 Guest 4,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
VIP-035,AADS-TOC-20260725-VIP-T06-S05-035,VIP,PAID VIP,6,5,VIP Table 6 Guest 5,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
VIP-036,AADS-TOC-20260725-VIP-T06-S06-036,VIP,PAID VIP,6,6,VIP Table 6 Guest 6,VIP Table 6 - Paid VIP Table,UNPAID,ACTIVE,VIP,NO,,,0,"Paid VIP Table 6: $110 table package, 6 seats"
GA-001,AADS-TOC-20260725-GA-001,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 001,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-002,AADS-TOC-20260725-GA-002,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 002,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-003,AADS-TOC-20260725-GA-003,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 003,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-004,AADS-TOC-20260725-GA-004,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 004,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-005,AADS-TOC-20260725-GA-005,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 005,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-006,AADS-TOC-20260725-GA-006,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 006,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-007,AADS-TOC-20260725-GA-007,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 007,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-008,AADS-TOC-20260725-GA-008,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 008,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-009,AADS-TOC-20260725-GA-009,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 009,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-010,AADS-TOC-20260725-GA-010,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 010,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-011,AADS-TOC-20260725-GA-011,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 011,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-012,AADS-TOC-20260725-GA-012,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 012,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-013,AADS-TOC-20260725-GA-013,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 013,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-014,AADS-TOC-20260725-GA-014,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 014,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-015,AADS-TOC-20260725-GA-015,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 015,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-016,AADS-TOC-20260725-GA-016,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 016,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-017,AADS-TOC-20260725-GA-017,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 017,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-018,AADS-TOC-20260725-GA-018,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 018,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-019,AADS-TOC-20260725-GA-019,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 019,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-020,AADS-TOC-20260725-GA-020,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 020,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-021,AADS-TOC-20260725-GA-021,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 021,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-022,AADS-TOC-20260725-GA-022,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 022,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-023,AADS-TOC-20260725-GA-023,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 023,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-024,AADS-TOC-20260725-GA-024,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 024,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-025,AADS-TOC-20260725-GA-025,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 025,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-026,AADS-TOC-20260725-GA-026,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 026,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-027,AADS-TOC-20260725-GA-027,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 027,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-028,AADS-TOC-20260725-GA-028,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 028,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-029,AADS-TOC-20260725-GA-029,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 029,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-030,AADS-TOC-20260725-GA-030,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 030,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-031,AADS-TOC-20260725-GA-031,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 031,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-032,AADS-TOC-20260725-GA-032,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 032,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-033,AADS-TOC-20260725-GA-033,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 033,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-034,AADS-TOC-20260725-GA-034,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 034,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-035,AADS-TOC-20260725-GA-035,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 035,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-036,AADS-TOC-20260725-GA-036,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 036,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-037,AADS-TOC-20260725-GA-037,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 037,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-038,AADS-TOC-20260725-GA-038,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 038,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-039,AADS-TOC-20260725-GA-039,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 039,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-040,AADS-TOC-20260725-GA-040,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 040,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-041,AADS-TOC-20260725-GA-041,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 041,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-042,AADS-TOC-20260725-GA-042,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 042,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-043,AADS-TOC-20260725-GA-043,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 043,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-044,AADS-TOC-20260725-GA-044,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 044,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-045,AADS-TOC-20260725-GA-045,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 045,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-046,AADS-TOC-20260725-GA-046,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 046,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-047,AADS-TOC-20260725-GA-047,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 047,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-048,AADS-TOC-20260725-GA-048,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 048,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-049,AADS-TOC-20260725-GA-049,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 049,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-050,AADS-TOC-20260725-GA-050,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 050,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-051,AADS-TOC-20260725-GA-051,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 051,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-052,AADS-TOC-20260725-GA-052,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 052,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-053,AADS-TOC-20260725-GA-053,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 053,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-054,AADS-TOC-20260725-GA-054,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 054,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-055,AADS-TOC-20260725-GA-055,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 055,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-056,AADS-TOC-20260725-GA-056,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 056,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-057,AADS-TOC-20260725-GA-057,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 057,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-058,AADS-TOC-20260725-GA-058,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 058,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-059,AADS-TOC-20260725-GA-059,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 059,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-060,AADS-TOC-20260725-GA-060,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 060,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-061,AADS-TOC-20260725-GA-061,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 061,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-062,AADS-TOC-20260725-GA-062,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 062,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-063,AADS-TOC-20260725-GA-063,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 063,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
GA-064,AADS-TOC-20260725-GA-064,GENERAL ADMISSION,GENERAL ADMISSION,,,General Admission Guest 064,General Admission Guest,UNPAID,ACTIVE,GENERAL ADMISSION,NO,,,0,
